,AT,,BE,,BG,,CH,,CZ,,DE,,DK,,EE,,ES,,FI,,FR,,GR,,HR,,HU,,IT,,LT,,NL,,NO,,PL,,PT,,RO,,RS,,SI,,SK,
,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se,b,se
Gas price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1._at,-0.3586558,0.2811717,0.4462491,0.2912583,0.032826,0.2043554,-0.2311327,0.3164986,0.0311033,0.2568228,0.1624032,0.1893352,0.3624939,0.2982524,0.0388074,0.3132309,1.150538,0.3225651,0.1076641,0.1369989,0.1634181,0.2673189,0.8640968,0.2123179,-0.0805732,0.3347666,-0.40601,0.2321269,0.9865938,0.2499793,0.0511826,0.2611458,0.4113318,0.2892731,0.0766734,0.1511244,-0.0532869,0.0905131,1.007756,0.3307126,0.0386139,0.3306399,-0.1924858,0.1713635,-0.0216595,0.3356556,0.2076466,0.2316532
2._at,-0.5389998,0.244305,0.4380486,0.2793931,0.0009037,0.1796348,-0.3545406,0.333329,-0.0621735,0.232829,0.1135925,0.1781297,0.3570421,0.2951297,0.0981115,0.299927,1.123006,0.3368985,0.0471109,0.1519568,0.0281689,0.2719453,0.8425745,0.2148126,-0.0844782,0.3206884,-0.433915,0.238489,0.9125212,0.2186226,0.0596199,0.2505231,0.376072,0.2970648,0.0467558,0.1462825,-0.0944411,0.0851827,0.9902823,0.3287693,-0.1650868,0.2149358,-0.2285607,0.1764815,-0.115738,0.3182817,0.0679119,0.2168528
3._at,-0.613676,0.2519642,0.2812287,0.2577761,0.1418582,0.1677151,-0.4875835,0.3445283,-0.1176641,0.2329516,0.1020699,0.1782027,0.3438476,0.2745866,0.1378426,0.2884192,1.088859,0.335363,-0.0044577,0.1715425,-0.1114059,0.2543519,0.8407443,0.2109978,-0.3295956,0.3423127,-0.4999677,0.249689,0.8702547,0.1993704,0.0796136,0.2369709,0.4033307,0.2470455,0.0430372,0.1491039,-0.0929199,0.0879852,1.088392,0.3400451,-0.6963368,0.3279845,-0.2818408,0.1645388,-0.340322,0.3354955,-0.062428,0.2369437
4._at,-0.7265646,0.2388237,0.0879686,0.2493873,0.2187395,0.1748597,-0.549036,0.3343346,-0.1241395,0.2483497,0.07391,0.1872843,0.2543338,0.2674873,0.1110917,0.290758,1.199017,0.3382611,0.0103008,0.1557857,-0.1074528,0.2668874,0.7626748,0.2072128,-0.5004254,0.2838112,-0.4874169,0.260965,0.9141308,0.1916461,-0.0125419,0.2345529,0.3213874,0.2113775,0.1329632,0.1223323,-0.1191602,0.0918986,1.111481,0.3469717,-0.7006589,0.2745067,-0.2457459,0.1674576,-0.5466463,0.289673,-0.0668435,0.2547862
5._at,-0.295162,0.2821353,0.2466134,0.2834369,0.1983826,0.2012405,-0.4117556,0.3240293,0.1131875,0.2354892,0.1761057,0.1892409,0.2912498,0.2865373,0.2035366,0.315887,1.197422,0.3299068,0.0820044,0.1692616,0.08842,0.2432344,0.8499447,0.2053067,-0.133605,0.2674037,-0.1682611,0.2363185,0.9755994,0.1991628,-0.0213432,0.252477,0.4557824,0.2475855,0.1655363,0.1072149,-0.0151294,0.0609425,1.393001,0.3223122,-0.8264628,0.2476095,-0.1723723,0.181896,-0.1572626,0.2640917,0.3305239,0.262509
6._at,0.2342473,0.2962952,0.8245969,0.2727659,-0.068736,0.220429,-0.0533358,0.2964765,0.5008099,0.306128,0.8192009,0.1952625,0.5720583,0.2962809,0.1816633,0.1763162,1.415791,0.3015966,0.2325218,0.218094,0.7135754,0.2634162,1.035678,0.2121607,0.3040337,0.3162597,0.1189439,0.255568,0.9567215,0.2320661,-0.0411933,0.1526704,1.198231,0.2734628,0.2128155,0.1014876,0.1704678,0.0873565,1.425395,0.3671867,-0.9514757,0.2708876,0.2787818,0.209408,0.3385628,0.3214611,0.6442467,0.3091396
7._at,0.5321456,0.2916367,0.9922164,0.3310912,0.3011929,0.2644913,0.2890752,0.2633547,0.7281446,0.3061134,0.9382684,0.2110311,1.18672,0.3014612,0.3681251,0.2272509,1.399306,0.3352203,0.1370931,0.2207459,0.9726026,0.304768,1.413971,0.2253872,0.5968439,0.2348558,0.2562869,0.2631744,1.182721,0.2630922,0.2872808,0.2211567,1.329558,0.2912119,0.1884866,0.1063313,0.2429576,0.1308932,1.370091,0.3621986,-0.4886199,0.2672443,0.5430517,0.2046367,0.486013,0.2319485,0.9155351,0.3165539
8._at,0.5905054,0.3092963,1.037225,0.3235216,0.5075634,0.2560427,0.473026,0.2169594,0.5947884,0.3367856,0.8670109,0.2379421,1.485046,0.2796559,0.504334,0.2772823,1.279387,0.3289772,0.249137,0.2528819,1.026419,0.3110723,1.7794,0.2315215,0.6368367,0.2334976,0.2363109,0.273999,1.150988,0.311504,0.5761791,0.2625972,1.448453,0.3148356,0.1149184,0.1201009,0.3811961,0.1608208,1.333416,0.3220634,0.1453864,0.2860822,0.5013859,0.2202546,0.6227979,0.2554378,0.9521098,0.3212027
