Date,Price,Open,High,Low,Vol.,Change %
9/4/23,33.795,36.25,37,33.025,1.95K,-5.12%
9/1/23,35.617,35.75,37.155,34.315,3.05K,1.68%
8/31/23,35.03,39,39,34.82,2.85K,-2.67%
8/30/23,35.992,34.425,36.1,34.425,3.14K,2.26%
8/29/23,35.195,36.885,36.885,34.805,1.95K,-8.38%
8/28/23,38.415,35.495,38.48,35.495,0.11K,10.47%
8/25/23,34.775,34.3,35.7,33.56,0.45K,8.88%
8/24/23,31.94,33.165,33.48,31.725,0.50K,-13.17%
8/23/23,36.785,41.65,42.495,36.475,0.72K,-14.27%
8/22/23,42.91,39.355,44.7,39.355,5.92K,5.22%
8/21/23,40.78,38.575,40.87,38.48,0.43K,12.00%
8/18/23,36.41,36.265,37.75,35.685,0.55K,-1.13%
8/17/23,36.825,37.15,39.325,36.325,0.59K,-2.54%
8/16/23,37.785,41.83,41.83,37.16,1.42K,-2.65%
8/15/23,38.815,36.835,40.5,36.2,1.70K,12.72%
8/14/23,34.435,36.65,36.655,33.725,0.46K,-2.45%
8/11/23,35.3,37,37.025,35.18,0.67K,-4.74%
8/10/23,37.055,37.095,39.465,36.59,1.30K,-6.96%
8/9/23,39.825,33.15,43.245,33.15,0.67K,28.20%
8/8/23,31.065,29.81,31.695,29.785,0.82K,1.90%
8/7/23,30.485,29.8,31.07,29.55,1.38K,5.66%
8/4/23,28.853,29.5,29.785,28.645,1.45K,-5.32%
8/3/23,30.475,29.875,31.35,29.68,2.08K,6.04%
8/2/23,28.74,27.3,29.155,27.3,2.30K,5.95%
8/1/23,27.125,29.115,29.115,26.98,2.04K,-4.37%
7/31/23,28.365,27.805,28.925,27.17,0.62K,9.77%
7/28/23,25.841,27.275,27.275,26.05,1.29K,-9.12%
7/27/23,28.435,29.25,29.45,28.105,0.45K,-2.87%
7/26/23,29.275,32.78,32.78,29.065,0.64K,-10.34%
7/25/23,32.65,30.22,32.87,30.22,0.28K,6.86%
7/24/23,30.555,28.15,30.425,28.15,0.28K,8.49%
7/21/23,28.164,30,30.53,28.615,0.22K,0.51%
7/20/23,28.02,25.54,27.915,25.54,0.48K,3.91%
7/19/23,26.965,27.155,28.13,25.59,0.88K,-0.39%
7/18/23,27.07,26,27.495,25.265,1.76K,7.85%
7/17/23,25.1,24.465,25.785,24.465,3.05K,-3.30%
7/14/23,25.957,27.57,28.7,25.11,1.82K,-2.44%
7/13/23,26.605,26.885,27.545,26.23,0.37K,-0.13%
7/12/23,26.64,28.455,28.58,26.32,1.54K,-8.33%
7/11/23,29.06,29.93,29.93,28.91,0.54K,-3.85%
7/10/23,30.225,32.83,32.83,29.555,0.77K,-9.72%
7/7/23,33.478,33.3,33.585,32.705,0.26K,3.49%
7/6/23,32.35,33.24,33.24,32.3,1.41K,-5.89%
7/5/23,34.375,33.825,36.11,33.805,0.30K,1.31%
7/3/23,33.93,37.82,37.82,33.995,0.40K,-8.55%
6/30/23,37.103,35.195,37.65,35.195,0.13K,5.47%
6/29/23,35.18,32.3,33.05,32.3,0.04K,3.09%
6/28/23,34.125,33.8,34.4,33.8,0.03K,-1.10%
6/27/23,34.505,32.905,32.905,32.35,0.06K,7.91%
6/26/23,31.975,34.305,34.305,34.155,0.08K,-1.64%
6/23/23,32.507,32.64,33,32.385,0.27K,-4.66%
6/22/23,34.095,36.9,36.935,34.055,0.53K,-7.21%
6/21/23,36.745,36.8,38.96,36.77,2.09K,-5.08%
6/20/23,38.71,32.65,39.35,31.88,0.31K,10.57%
6/16/23,35.01,34.55,37.05,32.4,0.10K,-14.91%
6/15/23,41.145,37.35,43.53,37.35,0.18K,7.40%
6/14/23,38.31,34.125,40.055,34.125,0.19K,6.27%
6/13/23,36.05,33.65,35.15,33.65,0.04K,16.16%
6/12/23,31.035,31.605,32.045,29.4,0.20K,-3.17%
6/9/23,32.05,27.15,33.015,27.15,0.28K,18.95%
6/8/23,26.945,26.55,28.5,26.05,0.42K,2.34%
6/7/23,26.33,25.35,26.99,25.2,0.74K,5.91%
6/6/23,24.86,28.3,28.3,24.775,0.33K,-12.71%
6/5/23,28.48,24.25,28.695,24.25,0.08K,20.22%
6/2/23,23.69,23.75,23.845,23.125,0.30K,2.53%
6/1/23,23.105,25.2,25.2,23.43,0.20K,-13.95%
5/31/23,26.85,25.495,27.95,25.495,0.04K,8.79%
5/30/23,24.681,24.681,24.681,24.681,,0.66%
5/26/23,24.52,25.435,25.435,23.79,0.10K,-3.65%
5/25/23,25.45,26.9,26.9,25.29,0.04K,-8.40%
5/24/23,27.785,28.63,28.63,28.63,0.05K,-4.60%
5/23/23,29.125,29.125,29.125,29.125,0.04K,-1.97%
5/22/23,29.71,30.2,30.2,30.2,0.17K,-1.54%
5/19/23,30.175,30.175,30.175,30.175,,1.31%
5/18/23,29.785,29.985,29.985,29.975,0.09K,-6.79%
5/17/23,31.955,32.6,32.6,32.175,0.15K,0.42%
5/16/23,31.82,32.35,32.93,31.635,0.44K,-1.53%
5/15/23,32.315,32.305,33.6,32,0.28K,-1.37%
5/12/23,32.765,33.95,33.95,32.35,0.43K,-6.37%
5/11/23,34.995,34.9,35.16,34.67,0.43K,0.00%
5/10/23,34.995,35.7,36,34.74,0.21K,-2.66%
5/9/23,35.95,36.625,36.91,35.8,0.26K,-2.51%
5/8/23,36.875,36.85,37.25,36.85,0.03K,0.82%
5/5/23,36.575,35.925,36.79,35.925,0.34K,2.58%
5/4/23,35.655,36.95,36.95,35.7,0.45K,-3.06%
5/3/23,36.78,37.495,37.495,36.4,0.41K,-2.00%
5/2/23,37.53,37.86,38.05,37.275,0.24K,-3.36%
5/1/23,38.835,38.835,38.835,38.835,0.01K,0.77%
4/28/23,38.54,39.8,39.8,38.3,0.00K,-1.28%
4/27/23,39.039,39.039,39.039,39.039,0.02K,1.27%
4/26/23,38.55,38.55,38.55,38.55,,-3.23%
4/25/23,39.835,39.835,39.835,39.835,,-0.23%
4/24/23,39.925,39.925,39.925,39.925,,-0.60%
4/21/23,40.165,40.65,41.15,39.95,0.03K,-0.99%
4/20/23,40.565,40.4,41.02,40.4,0.33K,0.66%
4/19/23,40.3,42.425,42.425,39.805,0.21K,-5.66%
4/18/23,42.72,41.505,42.99,41.505,0.14K,3.88%
4/17/23,41.125,42.185,42.185,41.05,0.27K,-0.06%
4/14/23,41.15,41.05,41.88,41.05,0.28K,-2.24%
4/13/23,42.095,42.6,42.605,41.945,0.16K,-1.83%
4/12/23,42.88,43.295,43.9,42.94,0.09K,-1.85%
4/11/23,43.69,43.1,44.365,42.425,0.09K,1.31%
4/10/23,43.125,43.125,43.125,43.125,,0.00%
4/6/23,43.125,43.765,44,42.895,0.07K,-3.25%
4/5/23,44.575,46.6,47.2,44.4,0.11K,-4.28%
4/4/23,46.57,48.945,48.945,45.825,0.13K,-9.34%
4/3/23,51.365,49.9,51.835,49.9,0.08K,7.36%
3/31/23,47.845,44.95,44.95,44.95,0.01K,9.71%
3/30/23,43.609,43.609,43.609,43.609,0.00K,1.88%
3/29/23,42.805,42.805,42.805,42.805,,0.13%
3/28/23,42.75,42.83,42.83,42.83,0.01K,0.52%
3/27/23,42.53,42.53,42.53,42.53,,3.49%
3/24/23,41.095,41.75,41.75,41.75,0.01K,-4.84%
3/23/23,43.185,42.6,43.81,42.245,0.19K,8.03%
3/22/23,39.975,41.55,41.55,39.945,0.11K,-5.72%
3/21/23,42.4,38.985,41.5,38.985,0.05K,7.82%
3/20/23,39.325,40.1,40.7,38.855,0.07K,-8.24%
3/17/23,42.855,43.8,44,42.32,0.14K,-3.35%
3/16/23,44.34,42,44.65,42,0.04K,3.34%
3/15/23,42.905,43.85,43.9,42.65,0.02K,-2.90%
3/14/23,44.185,46.75,46.75,44.545,0.14K,-10.89%
3/13/23,49.585,49.25,51.825,48.8,0.04K,-6.19%
3/10/23,52.855,48,54.23,45.3,0.03K,21.23%
3/9/23,43.6,41.15,41.15,41.15,0.00K,2.98%
3/8/23,42.34,44.6,44.6,44.6,0.03K,-2.37%
3/7/23,43.37,42.8,43.65,42.8,0.02K,2.89%
3/6/23,42.15,43.3,43.3,41.7,0.01K,-6.29%
3/3/23,44.98,45.65,46.285,45.075,0.01K,-3.92%
3/2/23,46.815,47.5,47.5,47.3,0.00K,-0.57%
3/1/23,47.085,47.25,48.2,47,0.01K,0.90%
2/28/23,46.665,48,48,46.7,0.00K,-1.34%
2/27/23,47.299,47.299,47.299,47.299,,-7.28%
2/24/23,51.015,51.015,51.015,51.015,,0.46%
2/23/23,50.78,50.78,50.78,50.78,,0.42%
2/22/23,50.57,50.57,50.57,50.57,,4.18%
2/21/23,48.54,50.8,50.8,50.8,0.00K,-1.03%
2/17/23,49.045,49.7,49.7,49.5,0.00K,-5.70%
2/16/23,52.01,54,54,54,0.01K,-4.94%
2/15/23,54.715,54.2,54.2,54.2,0.00K,4.45%
2/14/23,52.385,52,52,52,0.00K,1.32%
2/13/23,51.705,51.705,51.705,51.705,,-4.15%
2/10/23,53.945,53.25,53.25,53.25,0.00K,2.29%
2/9/23,52.735,52.735,52.735,52.735,,-1.77%
2/8/23,53.685,53.685,53.685,53.685,,-3.10%
2/7/23,55.405,57.4,57.7,55.5,0.01K,-4.65%
2/6/23,58.11,58.11,58.11,58.11,,0.38%
2/3/23,57.89,58,59.2,57.9,0.01K,1.49%
2/2/23,57.04,57.1,57.1,56.7,0.00K,-4.17%
2/1/23,59.525,57.4,58.2,57.4,0.00K,3.79%
1/31/23,57.35,60.2,60.2,57.4,0.01K,3.98%
1/30/23,55.156,56.85,56.85,55.5,0.01K,-0.49%
1/27/23,55.425,53.5,53.5,53,0.01K,1.11%
1/26/23,54.815,56.6,56.6,56.6,0.00K,-3.26%
1/25/23,56.66,57.25,57.25,56.6,0.00K,-2.76%
1/24/23,58.27,58.27,58.27,58.27,,-11.71%
1/23/23,66,65.2,65.2,64.6,0.00K,-1.35%
1/20/23,66.9,66.5,66.5,66.5,0.00K,10.19%
1/19/23,60.715,60.3,61.1,60.3,0.02K,-1.61%
1/18/23,61.71,60,62.2,60,0.01K,2.75%
1/17/23,60.06,65,65,54.5,0.01K,-7.33%
1/13/23,64.81,66.3,66.3,62.8,0.01K,-2.99%
1/12/23,66.81,69.6,69.6,67.6,0.01K,2.24%
1/11/23,65.345,67.595,67.595,65.5,0.01K,-6.74%
1/10/23,70.07,73,76,70.2,0.02K,-5.69%
1/9/23,74.3,71.05,75.4,70.1,0.01K,6.85%
1/6/23,69.535,72,76,68,0.01K,-3.98%
1/5/23,72.42,72.42,72.42,72.42,,11.38%
1/4/23,65.02,65.02,65.02,65.02,,-10.09%
1/3/23,72.315,72.315,72.315,72.315,,-5.24%
